timestamp, btcusd_open, btcusd_high, btcusd_low, btcusd_close, btcusd_volume, btcusd_lastSize
datetime, float, float, float, float, float, float
T,  ,  ,  ,  ,  ,  
2018-06-09 22:17:00.000000,7608.0,7608.0,7607.5,7608.0,102173.0,3550.0
2018-06-09 22:18:00.000000,7608.0,7608.0,7607.5,7608.0,14068.0,30.0
2018-06-09 22:19:00.000000,7608.0,7608.0,7607.5,7607.5,178908.0,100.0
2018-06-09 22:20:00.000000,7607.5,7608.0,7607.0,7607.0,474393.0,25.0
2018-06-09 22:21:00.000000,7607.0,7607.0,7605.0,7605.0,364971.0,100.0
2018-06-09 22:22:00.000000,7605.0,7605.5,7604.5,7604.5,204576.0,650.0
2018-06-09 22:23:00.000000,7604.5,7605.0,7604.0,7604.0,608424.0,50.0
2018-06-09 22:24:00.000000,7604.0,7604.5,7604.0,7604.5,68110.0,39.0
2018-06-09 22:25:00.000000,7604.5,7604.5,7604.0,7604.5,161197.0,2386.0
2018-06-09 22:26:00.000000,7604.5,7604.5,7604.0,7604.5,375604.0,3.0
2018-06-09 22:27:00.000000,7604.5,7606.0,7604.0,7606.0,512445.0,2163.0
2018-06-09 22:28:00.000000,7606.0,7607.0,7606.0,7606.5,442632.0,1.0
2018-06-09 22:29:00.000000,7606.5,7607.0,7606.5,7607.0,52760.0,13682.0
2018-06-09 22:30:00.000000,7607.0,7607.0,7606.5,7607.0,22603.0,1000.0
2018-06-09 22:31:00.000000,7607.0,7608.5,7606.5,7608.5,571483.0,380.0
2018-06-09 22:32:00.000000,7608.5,7609.5,7608.5,7609.0,234821.0,250.0
2018-06-09 22:33:00.000000,7609.0,7609.5,7609.0,7609.0,60284.0,39.0
2018-06-09 22:34:00.000000,7609.0,7609.5,7605.0,7605.5,998711.0,39.0
2018-06-09 22:35:00.000000,7605.5,7605.5,7605.0,7605.0,542592.0,31059.0
2018-06-09 22:36:00.000000,7605.0,7605.5,7605.0,7605.5,145963.0,39.0
2018-06-09 22:37:00.000000,7605.5,7605.5,7602.0,7602.0,1712883.0,2500.0
2018-06-09 22:38:00.000000,7602.0,7603.5,7602.0,7603.5,444847.0,2000.0
2018-06-09 22:39:00.000000,7603.5,7603.5,7603.0,7603.5,343730.0,5.0
2018-06-09 22:40:00.000000,7603.5,7603.5,7603.0,7603.0,67709.0,39.0
2018-06-09 22:41:00.000000,7603.0,7603.5,7598.5,7598.5,2823775.0,801.0
2018-06-09 22:42:00.000000,7598.5,7598.5,7596.0,7596.0,924035.0,2000.0
2018-06-09 22:43:00.000000,7596.0,7596.5,7596.0,7596.5,177313.0,1000.0
2018-06-09 22:44:00.000000,7596.5,7598.5,7596.0,7598.0,464536.0,59.0
2018-06-09 22:45:00.000000,7598.0,7598.5,7598.0,7598.5,348617.0,100.0
2018-06-09 22:46:00.000000,7598.5,7599.5,7598.0,7599.5,273488.0,3496.0
2018-06-09 22:47:00.000000,7599.5,7600.0,7599.5,7599.5,506337.0,50.0
2018-06-09 22:48:00.000000,7599.5,7599.5,7592.0,7592.5,2295147.0,559.0
2018-06-09 22:49:00.000000,7592.5,7592.5,7586.0,7586.0,4717785.0,4.0
2018-06-09 22:50:00.000000,7586.0,7593.5,7585.0,7593.5,3435420.0,2000.0
2018-06-09 22:51:00.000000,7593.5,7596.5,7593.0,7595.0,1957639.0,2429.0
2018-06-09 22:52:00.000000,7595.0,7595.0,7594.5,7595.0,507363.0,38.0
2018-06-09 22:53:00.000000,7595.0,7600.0,7594.5,7600.0,1214627.0,400.0
2018-06-09 22:54:00.000000,7600.0,7603.0,7595.5,7595.5,2985589.0,139.0
2018-06-09 22:55:00.000000,7595.5,7596.0,7595.0,7595.5,756653.0,38.0
2018-06-09 22:56:00.000000,7595.5,7600.0,7595.0,7600.0,564371.0,500.0
2018-06-09 22:57:00.000000,7600.0,7600.0,7599.5,7600.0,76416.0,800.0
2018-06-09 22:58:00.000000,7600.0,7600.0,7599.5,7600.0,88031.0,3406.0
2018-06-09 22:59:00.000000,7600.0,7603.5,7600.0,7603.5,681722.0,2950.0
2018-06-09 23:00:00.000000,7603.5,7607.5,7603.0,7604.5,1487640.0,100.0
2018-06-09 23:01:00.000000,7604.5,7605.0,7604.0,7604.0,2496283.0,2.0
2018-06-09 23:02:00.000000,7604.0,7604.5,7604.0,7604.5,442352.0,39.0
2018-06-09 23:03:00.000000,7604.5,7604.5,7604.0,7604.5,778616.0,450.0
2018-06-09 23:04:00.000000,7604.5,7604.5,7604.0,7604.5,208991.0,3.0
2018-06-09 23:05:00.000000,7604.5,7605.0,7604.5,7605.0,220937.0,500.0
2018-06-09 23:06:00.000000,7605.0,7605.0,7604.5,7604.5,1699962.0,1000.0
2018-06-09 23:07:00.000000,7604.5,7605.0,7604.5,7604.5,339608.0,5.0
2018-06-09 23:08:00.000000,7604.5,7608.5,7604.5,7608.5,1119979.0,1000.0
2018-06-09 23:09:00.000000,7608.5,7608.5,7608.0,7608.0,108611.0,2176.0
2018-06-09 23:10:00.000000,7608.0,7608.5,7608.0,7608.5,264733.0,2000.0
2018-06-09 23:11:00.000000,7608.5,7608.5,7608.0,7608.0,342684.0,81.0
2018-06-09 23:12:00.000000,7608.0,7608.5,7608.0,7608.5,8019.0,113.0
2018-06-09 23:13:00.000000,7608.5,7608.5,7608.0,7608.5,25208.0,200.0
2018-06-09 23:14:00.000000,7608.5,7608.5,7608.0,7608.5,41410.0,40.0
2018-06-09 23:15:00.000000,7608.5,7609.0,7608.0,7609.0,1059744.0,4500.0
2018-06-09 23:16:00.000000,7609.0,7610.5,7608.5,7610.5,417802.0,200.0
2018-06-09 23:17:00.000000,7610.5,7610.5,7610.0,7610.0,75224.0,600.0
2018-06-09 23:18:00.000000,7610.0,7610.5,7610.0,7610.5,101755.0,2000.0
2018-06-09 23:19:00.000000,7610.5,7610.5,7610.0,7610.5,124707.0,1000.0
2018-06-09 23:20:00.000000,7610.5,7610.5,7610.0,7610.5,662303.0,1200.0
2018-06-09 23:21:00.000000,7610.5,7610.5,7610.0,7610.0,26730.0,60.0
2018-06-09 23:22:00.000000,7610.0,7610.5,7610.0,7610.5,180315.0,17363.0
2018-06-09 23:23:00.000000,7610.5,7610.5,7610.5,7610.5,37735.0,5098.0
2018-06-09 23:24:00.000000,7610.5,7610.5,7610.0,7610.5,331065.0,3483.0
2018-06-09 23:25:00.000000,7610.5,7610.5,7610.0,7610.5,170205.0,100.0
2018-06-09 23:26:00.000000,7610.5,7610.5,7610.0,7610.0,116670.0,7738.0
2018-06-09 23:27:00.000000,7610.0,7610.5,7609.0,7609.5,506090.0,1000.0
2018-06-09 23:28:00.000000,7609.5,7609.5,7608.0,7608.0,400088.0,754.0
2018-06-09 23:29:00.000000,7608.0,7608.5,7607.5,7607.5,304472.0,8425.0
2018-06-09 23:30:00.000000,7607.5,7608.0,7607.5,7608.0,6923.0,50.0
2018-06-09 23:31:00.000000,7608.0,7608.0,7607.5,7608.0,16922.0,50.0
2018-06-09 23:32:00.000000,7608.0,7608.0,7607.5,7608.0,54861.0,1000.0
2018-06-09 23:33:00.000000,7608.0,7608.0,7606.0,7606.0,493674.0,3.0
2018-06-09 23:34:00.000000,7606.0,7606.0,7604.0,7604.0,876835.0,4400.0
2018-06-09 23:35:00.000000,7604.0,7604.5,7604.0,7604.0,343609.0,5000.0
2018-06-09 23:36:00.000000,7604.0,7604.5,7604.0,7604.0,34297.0,19000.0
2018-06-09 23:37:00.000000,7604.0,7604.5,7604.0,7604.0,69858.0,15000.0
2018-06-09 23:38:00.000000,7604.0,7604.5,7604.0,7604.0,67967.0,52.0
2018-06-09 23:39:00.000000,7604.0,7604.5,7604.0,7604.0,79280.0,4000.0
2018-06-09 23:40:00.000000,7604.0,7604.5,7599.5,7599.5,1289509.0,1500.0
2018-06-09 23:41:00.000000,7599.5,7599.5,7599.0,7599.0,477443.0,17789.0
2018-06-09 23:42:00.000000,7599.0,7599.5,7599.0,7599.0,184848.0,220.0
2018-06-09 23:43:00.000000,7599.0,7599.5,7599.0,7599.5,88911.0,35164.0
2018-06-09 23:44:00.000000,7599.5,7599.5,7599.0,7599.0,313698.0,4935.0
2018-06-09 23:45:00.000000,7599.0,7599.5,7598.5,7598.5,263834.0,500.0
2018-06-09 23:46:00.000000,7598.5,7599.0,7598.5,7599.0,316172.0,1000.0
2018-06-09 23:47:00.000000,7599.0,7599.0,7598.5,7599.0,200101.0,21225.0
2018-06-09 23:48:00.000000,7599.0,7599.0,7585.0,7585.0,7869896.0,5000.0
2018-06-09 23:49:00.000000,7585.0,7585.5,7500.0,7500.0,58327130.0,1000.0
2018-06-09 23:50:00.000000,7500.0,7520.0,7450.0,7480.0,33118215.0,19.0
2018-06-09 23:51:00.000000,7480.0,7498.5,7436.0,7444.0,41008111.0,915.0
2018-06-09 23:52:00.000000,7444.0,7475.0,7444.0,7468.5,13333076.0,20.0
2018-06-09 23:53:00.000000,7468.5,7477.0,7468.0,7477.0,11486032.0,30000.0
2018-06-09 23:54:00.000000,7477.0,7477.5,7468.0,7469.0,15004457.0,250.0
2018-06-09 23:55:00.000000,7469.0,7480.0,7468.5,7479.5,7136404.0,300.0
