timestamp, spread, target_value, m1_ask, m1_ask_size, m1_bid, m1_bid_size, m2_ask, m2_ask_size, m2_bid, m2_bid_size
datetime, float, int, float, float, float, float, float, float, float, float
T, , , , , , , , , ,
2018-04-01 16:15:00.000000, 1.97, 4, 6757.50, 17080.00, 6756.00, 2272.00, 6636.50, 2762.00, 6624.50, 9978.00
2018-04-01 16:20:00.000000, 1.77, 4, 6709.50, 35272.00, 6709.00, 117061.00, 6595.00, 100.00, 6591.00, 100.00
2018-04-01 16:25:00.000000, 1.66, 4, 6700.50, 23500.00, 6698.50, 10341.00, 6591.50, 1000.00, 6589.50, 20000.00
2018-04-01 16:30:00.000000, 1.65, 4, 6759.00, 105435.00, 6758.50, 6000.00, 6648.00, 5238.00, 6647.50, 4000.00
2018-04-01 16:35:00.000000, 1.94, 4, 6840.00, 60100.00, 6832.50, 390674.00, 6720.00, 5141.00, 6707.00, 6500.00
2018-04-01 16:40:00.000000, 1.89, 4, 6836.50, 22589.00, 6836.00, 1748117.00, 6710.00, 35.00, 6707.00, 1784.00
2018-04-01 16:45:00.000000, 1.61, 4, 6804.50, 402394.00, 6804.00, 148917.00, 6695.50, 51325.00, 6695.00, 11659.00
2018-04-01 16:50:00.000000, 1.66, 4, 6820.00, 124357.00, 6814.50, 150.00, 6707.50, 1817.00, 6706.50, 67.00
2018-04-01 16:55:00.000000, 1.57, 4, 6833.00, 72649.00, 6832.50, 169391.00, 6726.00, 15726.00, 6725.50, 42083.00
2018-04-01 17:00:00.000000, 1.45, 4, 6807.50, 126100.00, 6807.00, 46671.00, 6711.50, 2470.00, 6709.00, 175.00
2018-04-01 17:05:00.000000, 1.51, 4, 6800.00, 416878.00, 6799.50, 167646.00, 6697.50, 23052.00, 6697.00, 12073.00
2018-04-01 17:10:00.000000, 1.49, 4, 6820.50, 513474.00, 6820.00, 44854.00, 6720.50, 16133.00, 6719.00, 14500.00
2018-04-01 17:15:00.000000, 1.41, 4, 6831.00, 213470.00, 6830.50, 338504.00, 6735.50, 9113.00, 6735.00, 625.00
2018-04-01 17:20:00.000000, 1.51, 4, 6839.50, 138417.00, 6839.00, 50349.00, 6739.00, 4691.00, 6736.00, 20000.00
2018-04-01 17:25:00.000000, 1.50, 4, 6817.50, 13445.00, 6816.50, 24221.00, 6718.00, 5000.00, 6715.00, 7072.00
2018-04-01 17:30:00.000000, 1.49, 4, 6808.00, 142857.00, 6807.50, 206653.00, 6709.50, 4055.00, 6706.50, 500.00
2018-04-01 17:35:00.000000, 1.40, 4, 6795.00, 400606.00, 6794.00, 1932.00, 6700.50, 35970.00, 6700.00, 22252.00
2018-04-01 17:40:00.000000, 1.44, 4, 6826.50, 456640.00, 6826.00, 468224.00, 6728.50, 56971.00, 6728.00, 16469.00
2018-04-01 17:45:00.000000, 1.50, 4, 6820.00, 32656.00, 6819.50, 107695.00, 6719.00, 452.00, 6717.50, 1174.00
2018-04-01 17:50:00.000000, 1.53, 4, 6859.00, 4480.00, 6857.50, 260369.00, 6758.00, 1237.00, 6754.00, 704.00
2018-04-01 17:55:00.000000, 1.40, 4, 6841.50, 538135.00, 6841.00, 86227.00, 6746.00, 29421.00, 6745.50, 609.00
2018-04-01 18:00:00.000000, 1.31, 4, 6835.50, 281555.00, 6835.00, 211191.00, 6746.50, 25000.00, 6746.00, 8671.00
2018-04-01 18:05:00.000000, 1.28, 4, 6857.50, 340799.00, 6857.00, 166511.00, 6771.00, 884.00, 6770.00, 100.00
2018-04-01 18:10:00.000000, 1.29, 4, 6823.00, 642208.00, 6822.50, 64478.00, 6735.50, 9687.00, 6735.00, 2940.00
2018-04-01 18:15:00.000000, 1.44, 4, 6842.50, 113579.00, 6842.00, 164619.00, 6745.50, 18240.00, 6744.00, 2000.00
2018-04-01 18:20:00.000000, 1.39, 4, 6840.00, 355995.00, 6839.50, 55492.00, 6745.50, 30000.00, 6745.00, 33099.00
2018-04-01 18:25:00.000000, 1.45, 4, 6812.50, 444102.00, 6812.00, 258604.00, 6717.50, 92.00, 6714.00, 9092.00
2018-04-01 18:30:00.000000, 1.34, 4, 6783.50, 478371.00, 6783.00, 6716.00, 6693.00, 2000.00, 6692.50, 500.00
2018-04-01 18:35:00.000000, 1.36, 4, 6768.00, 387539.00, 6767.50, 59635.00, 6676.50, 15131.00, 6676.00, 1000.00
2018-04-01 18:40:00.000000, 1.44, 4, 6792.00, 376656.00, 6791.50, 140866.00, 6694.50, 581.00, 6694.00, 33910.00
2018-04-01 18:45:00.000000, 1.33, 4, 6783.00, 261289.00, 6782.50, 409285.00, 6693.00, 58000.00, 6692.50, 555.00
2018-04-01 18:50:00.000000, 1.39, 4, 6774.00, 864704.00, 6773.50, 83695.00, 6680.50, 42753.00, 6680.00, 31437.00
2018-04-01 18:55:00.000000, 1.59, 4, 6810.50, 55313.00, 6810.00, 108943.00, 6703.50, 63.00, 6702.50, 3631.00
2018-04-01 19:00:00.000000, 1.48, 4, 6840.00, 209875.00, 6839.50, 208185.00, 6740.00, 100.00, 6738.50, 1928.00
2018-04-01 19:05:00.000000, 1.56, 4, 6834.50, 537067.00, 6834.00, 63156.00, 6728.50, 48000.00, 6728.00, 21713.00
2018-04-01 19:10:00.000000, 1.73, 4, 6868.50, 12616.00, 6862.00, 50298.00, 6750.50, 5154.00, 6750.00, 7709.00
2018-04-01 19:15:00.000000, 1.44, 4, 6943.00, 17672.00, 6936.00, 14663.00, 6848.50, 20000.00, 6843.00, 22017.00
2018-04-01 19:20:00.000000, 1.38, 4, 6934.00, 76241.00, 6933.50, 11727.00, 6838.50, 10536.00, 6838.00, 210.00
2018-04-01 19:25:00.000000, 1.45, 4, 6943.50, 3000.00, 6943.00, 248488.00, 6844.00, 10000.00, 6843.00, 1191.00
2018-04-01 19:30:00.000000, 1.41, 4, 6939.50, 224848.00, 6939.00, 43365.00, 6842.00, 20.00, 6841.50, 589.00
2018-04-01 19:35:00.000000, 1.37, 4, 6955.00, 7100.00, 6954.50, 226842.00, 6863.00, 6428.00, 6860.00, 409.00
2018-04-01 19:40:00.000000, 1.44, 4, 6963.50, 16009.00, 6963.00, 20.00, 6863.50, 44293.00, 6863.00, 20.00
2018-04-01 19:45:00.000000, 1.39, 4, 6949.50, 313382.00, 6949.00, 212481.00, 6854.00, 4129.00, 6853.00, 2500.00
2018-04-01 19:50:00.000000, 1.38, 4, 6948.00, 182567.00, 6947.50, 119385.00, 6852.50, 92082.00, 6852.00, 129422.00
2018-04-01 19:55:00.000000, 1.33, 4, 6935.50, 22679.00, 6935.00, 491933.00, 6845.00, 2000.00, 6843.00, 2722.00
2018-04-01 20:00:00.000000, 1.43, 4, 6920.50, 380129.00, 6920.00, 1079901.00, 6822.00, 3000.00, 6821.50, 29818.00
2018-04-01 20:05:00.000000, 1.31, 4, 6907.50, 261912.00, 6907.00, 542030.00, 6817.50, 37800.00, 6817.00, 5000.00
2018-04-01 20:10:00.000000, 1.25, 4, 6882.00, 1386199.00, 6881.50, 10554.00, 6797.00, 9000.00, 6796.00, 1616.00
2018-04-01 20:15:00.000000, 1.22, 4, 6909.50, 318541.00, 6909.00, 101030.00, 6825.50, 19620.00, 6825.00, 100.00
2018-04-01 20:20:00.000000, 1.39, 4, 6906.50, 161702.00, 6906.00, 41125.00, 6815.00, 100.00, 6810.50, 876.00
2018-04-01 20:25:00.000000, 1.32, 4, 6905.50, 345192.00, 6905.00, 19333.00, 6818.00, 3513.00, 6814.50, 589.00
2018-04-01 20:30:00.000000, 1.42, 4, 6952.50, 177576.00, 6952.00, 386635.00, 6854.50, 51272.00, 6854.00, 4249.00
2018-04-01 20:35:00.000000, 1.48, 4, 6935.00, 451752.00, 6934.50, 2301.00, 6833.50, 4818.00, 6832.50, 200.00
2018-04-01 20:40:00.000000, 1.29, 4, 6930.50, 525948.00, 6930.00, 237418.00, 6841.50, 10000.00, 6841.00, 589.00
2018-04-01 20:45:00.000000, 1.34, 4, 6917.00, 423394.00, 6916.50, 301908.00, 6826.50, 212.00, 6824.00, 8830.00
2018-04-01 20:50:00.000000, 1.34, 4, 6915.50, 451656.00, 6915.00, 22697.00, 6823.50, 51984.00, 6823.00, 4889.00
2018-04-01 20:55:00.000000, 1.32, 4, 6913.50, 720020.00, 6913.00, 114168.00, 6822.50, 19401.00, 6822.00, 603.00
2018-04-01 21:00:00.000000, 1.35, 4, 6898.00, 896256.00, 6897.50, 5010.00, 6805.50, 11479.00, 6805.00, 100.00
2018-04-01 21:05:00.000000, 1.31, 4, 6886.50, 423092.00, 6886.00, 32869.00, 6799.00, 956.00, 6796.50, 7111.00
2018-04-01 21:10:00.000000, 1.23, 4, 6885.50, 191257.00, 6885.00, 162664.00, 6801.50, 50271.00, 6801.00, 7970.00
2018-04-01 21:15:00.000000, 1.30, 4, 6903.50, 218732.00, 6903.00, 349243.00, 6814.50, 10.00, 6813.50, 4700.00
2018-04-01 21:20:00.000000, 1.25, 4, 6894.50, 94460.00, 6894.00, 680601.00, 6809.00, 8600.00, 6808.50, 3061.00
2018-04-01 21:25:00.000000, 1.32, 4, 6908.00, 61100.00, 6907.50, 373156.00, 6818.50, 2958.00, 6817.00, 4684.00
2018-04-01 21:30:00.000000, 1.26, 4, 6892.00, 251396.00, 6891.50, 128473.00, 6808.00, 2000.00, 6805.00, 4928.00
2018-04-01 21:35:00.000000, 1.25, 4, 6851.00, 847538.00, 6850.50, 403258.00, 6766.00, 34636.00, 6765.50, 571.00
2018-04-01 21:40:00.000000, 1.35, 4, 6829.00, 7300.00, 6828.00, 58193.00, 6740.00, 1356.00, 6736.50, 313.00
2018-04-01 21:45:00.000000, 1.46, 4, 6841.00, 127656.00, 6840.50, 408272.00, 6742.00, 7499.00, 6741.00, 810.00
2018-04-01 21:50:00.000000, 1.49, 4, 6828.00, 600669.00, 6827.50, 24652.00, 6727.00, 52441.00, 6726.50, 17525.00
2018-04-01 21:55:00.000000, 1.45, 4, 6837.00, 365390.00, 6836.50, 13924.00, 6738.50, 26095.00, 6738.00, 5.00
2018-04-01 22:00:00.000000, 1.39, 4, 6831.00, 313052.00, 6830.50, 169907.00, 6737.00, 14000.00, 6736.00, 566.00
2018-04-01 22:05:00.000000, 1.53, 4, 6850.00, 23963.00, 6849.50, 602.00, 6747.50, 28597.00, 6745.50, 25.00
2018-04-01 22:10:00.000000, 1.48, 4, 6839.50, 534312.00, 6839.00, 297905.00, 6739.00, 15886.00, 6738.50, 10000.00
2018-04-01 22:15:00.000000, 1.39, 4, 6828.50, 34100.00, 6826.50, 504.00, 6734.00, 10000.00, 6733.50, 14500.00
2018-04-01 22:20:00.000000, 1.44, 4, 6818.00, 319045.00, 6817.50, 175766.00, 6721.00, 2590.00, 6719.50, 500.00
2018-04-01 22:25:00.000000, 1.33, 4, 6813.50, 316514.00, 6813.00, 79251.00, 6723.50, 2475.00, 6723.00, 84064.00
2018-04-01 22:30:00.000000, 1.39, 4, 6813.00, 203915.00, 6812.50, 95873.00, 6719.00, 27195.00, 6718.50, 50.00
2018-04-01 22:35:00.000000, 1.39, 4, 6775.50, 119162.00, 6775.00, 449313.00, 6682.00, 15156.00, 6681.50, 850.00
